Genre,Question,Answer,Comments
History,"In the harbour of which city was the Greenpeace flagship Rainbow Warrior sunk in 1985?  Auckland, Wellington, Dunedin, or Christchurch?",Auckland,"The sinking of Rainbow Warrior, codenamed Opération Satanique, was a state terrorism bombing operation by the ""action"" branch of the French foreign intelligence agency, the Directorate-General for External Security, carried out on 10 July 1985 - Wikipedia"
History,"True or False, Napoleon Bonaparte was defeated in the Battle of Waterloo.",True,"The Battle of Waterloo, which took place in Belgium on June 18, 1815, marked the final defeat of Napoleon Bonaparte, who conquered much of Europe in the early 19th century. - HISTORY"
History,Complete this sentence: The __________ ____________ was a document declared by Abraham Lincoln to abolish slavery in the United States.,Emancipation Proclamation,"On September 22, 1862, President Abraham Lincoln issued the preliminary Emancipation Proclamation, which declared that as of January 1, 1863, all enslaved people in the states currently engaged in rebellion against the Union “shall be then, thenceforward, and forever free.” - HISTORY
"
History,What year was the Treaty of Versailles signed?,1919,"The Treaty of Versailles, signed in 1919 at the Palace of Versailles in Paris at the end of World War I, codified peace terms between Germany and the victorious Allies. - HISTORY"
Geography,What is the smallest country in the world by landmass and population?,Vatican City,"With an area of 49 hectares (121 acres) and a 2019 population of about 453, it is the smallest state in the world both by area and population. - Wikipedia"
Geography,"True or False, the current FEDERAL capital of Brazil is Rio de Janeiro.",False,"Rio de Janeiro became the colonial capital in 1763 and was the capital of independent Brazil from 1822 until 1960, when the national capital was moved to the new city of Brasília - Britannica"
Geography,"Which country is also called The Netherlands? Norway, Holland, Belgium, or Luxembourg?",Holland,"The Netherlands, informally known as Holland, is a country located in northwestern Europe with overseas territories in the Caribbean."
Geography,"Complete this sentence: ""The world's largest desert is in ________""",Antarctica,"Antarctica is, on average, the coldest, driest, and windiest of the continents, and it has the highest average elevation. It is mainly a polar desert, with annual precipitation of over 200 mm (8 in) along the coast and far less inland. - Wikipedia"
Entertainment,"In The Matrix, does Neo take the blue pill or the red pill?",Red pill,The red pill and blue pill represent a choice between the willingness to learn a potentially unsettling or life-changing truth by taking the red pill or remaining in the contented experience of ordinary reality with the blue pill. - Wikipedia
Entertainment,What year was the first Avatar movie released in the US?,2009,"Avatar was released on December 18, 2009, and is the highest grossing film of all-time. The second installment, The Way of Water, was released on December 16, 2022. - Wikipedia"
Entertainment,"In the movie Forrest Gump, which country did Forrest Gump travel to as part of the All-American Ping-Pong Team for diplomatic reasons? Vietnam, Sweden, China, France?",China,"After suffering injuries in Vietnam, Forrest develops an aptitude for Table tennis and joins the U.S. Army team—eventually competing against Chinese teams on a goodwill tour. - Wikipedia"
Entertainment,"True or False, the 2001 movie Shrek was the first ever film to be made in full CGI.",False,"Created in 1995, Toy Story was the first entirely computer-animated feature film, as well as the first feature film from Pixar. - Wikipedia"
Science,"Which planet is closest to the Sun? Mars, Saturn, Venus, or Mercury?",Mercury,Mercury is the first planet from the Sun and the smallest planet in the Solar System. - Wikipedia
Science,"True or False, hot water freezes faster than cold water.",True,"The Mpemba effect is the name given to the observation that a liquid (typically water) which is initially hot can freeze faster than the same liquid which begins cold, under otherwise similar conditions. - Wikipedia"
Science,"What “P” term refers to a virus, bacteria, or other agent that causes disease?",Pathogen,"In biology, a pathogen, in the oldest and broadest sense, is any organism or agent that can produce disease. A pathogen may also be referred to as an infectious agent, or simply a germ. - Wikipedia"
Science,"Complete this sentence: ""There are 118 elements in the _______ _____ of elements""",Periodic table,"The periodic table, also known as the periodic table of the elements, arranges the chemical elements into rows (""periods"") and columns (""groups""). It is an organizing icon of chemistry and is widely used in physics and other sciences. - Wikipedia"
Sports,The Olympic games are held every how many years?,4,"The Olympic Games are normally held every four years, and since 1994, have alternated between the Summer and Winter Olympics every two years during the four-year period. - Wikipedia"
Sports,What country does the famous soccer player Cristiano Ronaldo come from? ,Portugal,"Widely regarded as one of the greatest players of all time, Ronaldo has won five Ballon d'Or awards and four European Golden Shoes, the most by a European player. He has won 32 trophies in his career, including seven league titles, five UEFA Champions Leagues, the UEFA European Championship and the UEFA Nations League. - Wikipedia"
Sports,"True or False, New Zealand won the first ever Rugby World Cup.",True,"The 1987 Rugby World Cup was the first Rugby World Cup. It was co-hosted by New Zealand and Australia. The tournament was won by New Zealand, who were the strong favourites and won all their matches comfortably. - Wikipedia"
Sports,Complete this sentence: The term ______ is used when a player knocks down all pins on the first ball roll in bowling.,Strike,"In bowling, a strike means that all of the pins have been knocked down on the first ball roll of a frame. On a bowling scoresheet, a strike is marked by an ""X"". - Wikipedia"
